Date,Time,In_Temperature,In_Humidity,Out_Temperature,Out_Humidity,SP3S-AQ2-01,TGS832-A00,TGS822,SP-11-00,NA,SK25F,NA,SB-51-00,SP-19-01,SP-31-00,TGS2602-B00,TGS2620-C00
27/05/2021,14:03:04,30.333714808880746,66.18407466748049,27.680410156249998,39.52567260487044,2.681520500534106,2.505698153517473,1.8435250297573633,3.2647051426827414,4.848956435220507,0.0037440927819319372,-0.00038128490767587366,3.3698960231954826,0.2987773538837174,0.11864211200976651,1.7432470990386082,1.629886720585991
27/05/2021,14:23:00,30.331578545815216,66.20238549375651,27.801861979166677,38.82482513609216,2.7033287471387153,2.550746027773539,1.853957234854265,3.2577670074774905,4.8493689729894704,0.0037440927819319372,-0.0003750343354188921,3.3677958309171374,0.30447162520982757,0.12011099649015718,1.7328961513810464,1.6355747413398443
27/05/2021,14:42:57,30.315289539940487,66.27720556445668,27.791438802083334,38.49792148741121,2.7194427224172135,2.5823426705325803,1.8609516252098277,3.2504663390813366,4.849068945521135,0.003731591637417974,-0.0004000366244468183,3.366595721043797,0.3093783244315581,0.12132360750801159,1.7234265344117197,1.6394625972836872
27/05/2021,15:02:55,30.315378550901553,66.35192390834415,27.756282552083345,38.27521223454569,2.7300686952540825,2.601406915916374,1.8643831893789102,3.245578391576378,4.849150202960478,0.0037440927819319372,-0.0003750343354188921,3.3664957118876857,0.3133349366702273,0.12225494277430184,1.7129380741645048,1.6422253502212725
27/05/2021,15:22:55,30.343238981714602,66.2754762086417,27.830794270833337,37.695825235638736,2.7340503097817788,2.607038681519915,1.8653520280787426,3.241671783915763,4.849025191515339,0.0037440927819319372,-0.0003750343354188921,3.3670395116740424,0.3161414436136122,0.12302376316191058,1.7033559468945516,1.6426003845566912
27/05/2021,15:42:52,30.344663157091635,66.29195595229014,27.89335286458334,38.0579572266506,2.7468202289027928,2.6384165542499605,1.8707462719365175,3.235208692202045,4.84887517778117,0.0037440927819319372,-0.0003750343354188921,3.3669832565237305,0.31938549061498556,0.124567654509385,1.6938300747749124,1.6467882679688692
27/05/2021,16:02:49,30.349024694183772,66.47084255232572,28.154615885416653,37.81362054069406,2.7662095040439496,2.679051524492599,1.880690932397375,3.2317271234549065,4.849050193804365,0.0037378422096749557,-0.0003750343354188921,3.3655206226155974,0.3237983946284144,0.12712413856249047,1.6846354829848924,1.654082685792767
27/05/2021,16:22:46,30.364779634292105,66.61473512881159,28.22093750000001,38.22963177377371,2.7866363741797646,2.7330689699374324,1.890685597436289,3.2245764687929195,4.844481025484512,0.0037378422096749557,-0.00039378605218983674,3.361607764382725,0.32819254692507244,0.12996814893941708,1.6731531817488174,1.6623459423164963
27/05/2021,16:42:42,30.341814806337585,66.88893975229523,28.29854166666666,37.27704255614277,2.8144951747291325,2.7807858385472306,1.9011365542499623,3.2205323485426525,4.844937317259269,0.0037503433541889184,-0.0003750343354188921,3.36143274835953,0.33338052189836714,0.13328095223561726,1.666246299404853,1.669840378452617
27/05/2021,17:02:43,30.336652170595865,63.08069479413037,28.160117187500006,36.486599728869244,2.7506830825576083,2.7353504288112314,1.8432,3.1394999298031436,4.828092025026706,0.0037378422096749557,-0.0003750343354188921,3.3739963985960633,0.3234858660155654,0.1284930138867694,1.5894705203723485,1.6086847794903103
27/05/2021,17:22:45,30.341636784415456,64.57485821825487,28.065898437499996,36.43198487457532,2.7590463482374483,2.7546709476575613,1.8643956905234245,3.1641396856401647,4.829542157790324,0.003731591637417974,-0.00038128490767587366,3.364526781626735,0.3306615229665802,0.13051819929803143,1.5810760018312222,1.6261301266595458
27/05/2021,17:42:46,30.319562066071562,65.22662190686911,27.997005208333338,36.38355806527487,2.766409522356173,2.749207947504959,1.8709025362429428,3.174553139020296,4.829910941553487,0.003769095070959864,-0.0003750343354188921,3.362264074469708,0.33511193041355103,0.13108700137341678,1.5960711246757209,1.6329432504196548
27/05/2021,18:02:51,30.362020294499125,65.44599577833728,28.06211588541667,36.70475978565421,2.7590275965206765,2.7101793743323657,1.8686710819472003,3.1840977628567066,4.830742267663666,0.0037503433541889184,-0.00039378605218983674,3.3615265069433837,0.3367683320616512,0.13007440866778577,1.6078534533801312,1.6327182298184035
27/05/2021,18:22:49,30.351784033976752,65.65341674931969,28.120325520833326,36.93183193635826,2.7649343873035255,2.730193706699222,1.874627877308103,3.1835789653593776,4.830642258507554,0.0037503433541889184,-0.00038128490767587366,3.3604326567984133,0.3386310025942316,0.1304931970090035,1.6062095528765454,1.6400251487868152
27/05/2021,18:42:49,30.351427990132496,65.8926782126599,28.08817057291666,37.15604337755506,2.7716475019075233,2.7313000579887072,1.8767155684419348,3.187398065008394,4.831023543415229,0.0037565939264459004,-0.00038753547993285517,3.3599826155959107,0.34020614680299105,0.1307369693270258,1.6083660003052043,1.642406616816725
