,,48,48,48,48,49,49,49,49,4B,4B,4B,4B
,,0,1,2,3,0,1,2,3,0,1,2,3
Temperatura,Humedad,SP3S-AQ2-01,TGS832-A00,TGS822,4 ó 1,NA,SK25F,NA,SB-51-00,4 ó 1,SP-31-00,TGS2602-B00,TGS2620-C00
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
26.70,23.90,1.33300,4.44400,1.77700,2.55500,2.34400,2.45600,4.56700,5.66700,1.23400,4.45600,1.33340,2.56700,
